insee_com;postal_code
62833;62270
4136;4170
61062;61160
70121;70400
51587;51400
34285;34230
17433;17130
6045;6910
55188;55600
39090;39120
16007;16490
12031;12390
50618;50330
27160;27630
21403;21430
21568;21500
31172;31420
7151;7320
7060;7240
32166;32190
86225;86330
2464;2880
15088;15150
9053;9250
60344;60850
40115;40465
58110;58800
53034;53960
63352;63340
45137;45300
21260;21500
76416;76680
62088;62380
32323;32300
58268;58250
10375;10410
47291;47150
4058;5110
55581;55500
22387;22420
37274;37370
85040;85410
67430;67220
35211;35380
25601;25530
70042;70110
67010;67140
11337;11700
63449;63710
66171;66750
11428;11310
9196;9240
63234;63320
50219;50200
2607;2200
41279;41800
76320;76660
59201;59320
89043;89440
41078;41360
51576;51150
5028;5400
62213;62144
62826;62520
70507;70190
15263;15300
8035;8240
10011;10200
60474;60310
32374;32450
54217;54120
1261;1390
37150;37130
6088;06000/06100/06200/06300
28059;28270
9018;9800
8023;8390
76678;76440
65108;65460
64480;64390
35015;35500
16275;16140
21073;21390
72290;72380
22229;22110
1333;1390
48022;48400
38084;38140
33009;33120
28100;28300
65288;65220
43157;43000
8001;8300
34165;34560
51373;51290
16363;16420
67550;67360
31151;31450
21456;21500
51342;51530
52262;52330
25417;25360
78070;78930
97109;97113
97415;97460
97115;97129
97421;97433
97204;97221
97107;97130
52076;52120
1450;1800
68020;68490
50639;50800
14582;14100
76453;76750
38417;38660
73275;73360
57253;57815
13010;13570
29189;29470
25289;25510
31190;31440
71519;71310
87204;87600
47242;47500
11400;11230
80498;80560
42120;42155
68117;68140
89079;89300
4214;4330
67008;67120
31303;31410
59466;59710
39470;39220
52199;52300
51387;51530
76446;76380
45035;45340
36142;36250
71271;71340
82031;82210
11252;11320
22377;22410
86163;86360
41208;41190
62396;62130
5118;5300
51212;51320
37176;37800
31574;31810
81185;81630
49189;49330
50304;50510
39404;39570
32104;32300
7312;7610
84103;84400
16371;16170
25508;25640
59049;59266
38322;38680
68267;68950
85136;85240
10253;10330
77216;77880
46306;46320
38397;38330
60620;60430
43186;43550
76619;76260
33194;33420
67526;67230
80748;80240
4115;4240
38314;38530
84064;84840
5051;5700
10277;10190
57752;57915
67478;67790
88216;88600
11355;11300
1134;1290
57305;57650
40033;40120
39466;39190
29281;29140
68163;68680
10242;10200
76543;76210
63271;63290
9231;9320
72050;72350
70494;70150
77246;77171
5106;5230
16317;16140
48062;48300
71007;71460
31175;31800
22273;22400
46130;46700
68139;68118
59205;59124
34190;34210
23120;23600
7123;7310
63334;63520
61053;61380
25281;25150
14740;14290
65049;65700
79191;79000
9240;9400
71167;71620
95074;95000
35209;35410
64073;64230
55245;55210
30066;30260
60680;60410
45154;45520
38002;38190
31263;31870
25304;25310
27161;27180
61048;61560
45271;45500
60119;60170
71423;71350
59488;59554
31460;31120
1079;1260
50052;50360
45144;45150
81316;81140
2755;2000
2623;2140
33283;33540
57244;57820
10208;10400
6048;6390
27483;27400
84040;84110
54093;54800
86186;86220
45125;45390
60140;60240
71559;71800
38544;38200
35247;35610
4139;4200
70237;70120
64544;64160
28378;28400
62225;62500
35173;35520
50078;50430
26052;26160
8113;8220
13044;13450
38340;38370
51238;51270
58312;58500
76145;76630
3170;3210
63167;63200
63412;63840
50533;50190
19247;19200
39236;39230
54481;54540
63034;63116
69381;69001
61337;61340
63417;63530
81281;81570
31300;31800
76462;76270
94075;94440
3054;3340
67336;67150
25479;25250
73230;73130
35216;35850
11079;11390
43126;43800
69190;69280
62617;62290
39166;39240
71468;71670
32429;32700
30211;30129
10379;10700
30274;30340
60234;60600
36129;36230
2049;2700
55313;55270
24069;24350
85055;85670
28111;28330
9157;9600
65115;65350
84111;84110
33288;33410
40168;40140
49130;49460
51237;51310
54140;54930
2149;2240
47286;47420
15071;15600
44055;44500
16257;16250
58147;58700
67385;67430
48009;48130
22149;22460
78113;78440
76155;76260
81071;81340
2B230;20246
15054;15190
38368;38140
89406;89420
51271;51130
8032;8310
60540;60126
50648;50700
68247;68830
60047;60300
80167;80150
25243;25390
39272;39210
55143;55400
12133;12450
50188;50320
18242;18600
46191;46090
9160;9300
64095;64160
86121;86190
37161;37530
51269;51290
67223;67880
62502;62136
70537;70240
8422;8430
21575;21170
2741;2390
91540;91530
22390;22930
32339;32600
2591;2270
9164;9420
71486;71230
61471;61130
26282;26150
57336;57490
30061;30190
4202;4320
46282;46210
57679;57385
8330;8300
58222;58500
6121;6230
95348;95450
68258;68840
89471;89320
64455;64330
1204;1130
52179;52130
25545;25330
2B140;20252
12244;12490
2224;2220
87019;87220
71032;71960
49136;49500
76632;76890
11168;11500
43097;43150
21591;21380
24477;24600
54536;54640
64008;64220
63398;63220
14373;14210
57308;57430
55145;55150
73126;73210
37193;37140
35276;35630
40206;40300
5004;5260
80444;80132
10059;10500
25048;25550
39335;39290
49240;49360
36198;36500
38036;38160
27448;27120
25222;25580
67485;67370
80184;80800
5027;5100
79025;79130
31567;31570
62817;62217
48125;48500
51485;51400
70547;70400
26045;26160
14721;14210
59608;59213
32127;32240
41286;41310
33067;33710
10143;10210
64308;64450
64406;64370
38403;38710
2B307;20230
50215;50560
64122;64200
80558;80160
82034;82120
21340;21250
76548;76116
11041;11120
12096;12500
36081;36190
62024;62850
15073;15110
